"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_tweetid","in_reply_to_userid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions","poll_choices"
"907613289366028289","G1OJKS4rlweMbpI4cyJRPp+IB2AnLIjhySGFkibKU=","G1OJKS4rlweMbpI4cyJRPp+IB2AnLIjhySGFkibKU=","G1OJKS4rlweMbpI4cyJRPp+IB2AnLIjhySGFkibKU=","Estados Unidos","Voluntaryism advocate. Hoping that Trump will help expand individual liberty, lower taxes, and that he will help limit government to its proper role","https://t.co/zxyYYbkrR5","2314","4658","2017-09-05","es","Tim Tebow Has a Blast With WWII Veterans in Shelter After Hurricane Irma  https://t.co/d1PRdTt7Uk","2017-09-12 14:34","Zapier.com","","","","False","","","absent","absent","0.0","1.0","9.0","3.0","[]","[http://zpr.io/nUXmT]","[]",""
"908679323816808449","7gpuefJPH1mBU03dCoUhpcSkLpcmD5pD5HqqkySlsc=","7gpuefJPH1mBU03dCoUhpcSkLpcmD5pD5HqqkySlsc=","7gpuefJPH1mBU03dCoUhpcSkLpcmD5pD5HqqkySlsc=","Estados Unidos","there are things known and things unknown and in between are the doors #twd #maga #beyou #veteranslivesmatter #conservative..","https://t.co/4srF9AuhkP","2190","1004","2017-08-09","es","SHOCK PHOTOS: Berkeley Protesters Chalk ‘F the Police’ on Sidewalk  https://t.co/nRQ8nRn3CR","2017-09-15 13:10","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUe7a]","[]",""
"907259481846726656","DEhW0gcqZuMYIS9f7V61WWFRrbP+eZE56AZlPBWP7k=","DEhW0gcqZuMYIS9f7V61WWFRrbP+eZE56AZlPBWP7k=","DEhW0gcqZuMYIS9f7V61WWFRrbP+eZE56AZlPBWP7k=","Estados Unidos","Happy wife, animal lover, appreciator of great books and good beer. God Bless the USA! #MAGA, #Covfefe","https://t.co/zxyYYbkrR5","1855","4767","2017-09-06","es","LOL : James Woods Offers Briliant Advice on Avoiding Hurricane Looters  https://t.co/meWwEJVqyK","2017-09-11 15:08","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUzZN]","[]",""
"907612087240806401","96umTdrjrmz3n2WvFHdNFPO4FBcU8N5aAxV4NLvjcM=","96umTdrjrmz3n2WvFHdNFPO4FBcU8N5aAxV4NLvjcM=","96umTdrjrmz3n2WvFHdNFPO4FBcU8N5aAxV4NLvjcM=","Estados Unidos","Pro Trump, Proud to be an American with Mexican heritage, country boy, gamer, DC Comics fanatic, collegiate athlete #MAGA","https://t.co/zxyYYbkrR5","312","1948","2017-09-05","es","CNN’s Don Lemon Claims he can SMELL RACISM  https://t.co/0Az5KkLVL5","2017-09-12 14:29","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUXMr]","[]",""
"905806768210665472","tKlLtwQbH7rVN2yr6kwacDwtd1mjclWoIbY021UQhXA=","tKlLtwQbH7rVN2yr6kwacDwtd1mjclWoIbY021UQhXA=","tKlLtwQbH7rVN2yr6kwacDwtd1mjclWoIbY021UQhXA=","Estados Unidos","Mom of 3, Gma to 1, son w Downs, son w pituitary gland brain tumor, employed, student, stroke in Feb.priced out of insur #MAGAWA #THANKGODTRUMPWON","https://t.co/4srF9AuhkP","2740","866","2017-08-18","es","""Vanity Fair Snubs Melania and Excludes Her From ‘Best Dressed’ List"" https://t.co/i3DGa0Oopu","2017-09-07 14:55","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/PQ3Ur]","[]",""
"903443899364106240","HoKpxnZF4gJk+IzjhJijZyLKzNXWMQtF07nWOBUmo=","HoKpxnZF4gJk+IzjhJijZyLKzNXWMQtF07nWOBUmo=","HoKpxnZF4gJk+IzjhJijZyLKzNXWMQtF07nWOBUmo=","Estados Unidos","I opened this twitter , to share my Love for America and Canada with like minded People , big TRUMP FAN , MAGA??","https://t.co/4srF9ALSJp","1731","4699","2017-08-25","es","Race Baiter Jesse Jackson Attacks Trump, Claims to SPEAK FOR GOD!  https://t.co/LIAWgNgaNF","2017-09-01 02:26","Zapier.com","","","","False","","","absent","absent","2.0","3.0","7.0","11.0","[]","[http://zpr.io/PWcBE]","[]",""
"908760548728299521","Q9Ywvmza1aReilxUTKpF1sksfMTTcIJMseww8KZdPkc=","Q9Ywvmza1aReilxUTKpF1sksfMTTcIJMseww8KZdPkc=","Q9Ywvmza1aReilxUTKpF1sksfMTTcIJMseww8KZdPkc=","Estados Unidos","#MAGA..#TRUMP ??%......???????????? #DEPLORABLE#1???? #cnn is a JOKE???? it's time to take back our country???????????? ????#winning????#winning????#winning","https://t.co/zxyYYbkrR5","1943","4800","2017-09-05","es","FLASHBACK: London Mayor Said Terror Attacks Just Part of Urban Life  https://t.co/3eZoFgEdgi","2017-09-15 18:32","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nU4km]","[]",""
"905980613257285632","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Estados Unidos","Life member NRA & IKF ""Say When"".. Cause I Play For Blood. NO PC VETS & PATRIOTSWELCOMED #MAGA.#VETS #GUNSMATTER ??","https://t.co/4srF9AuhkP","1885","83","2017-08-18","es","BREAKING: Billionaire Koch Brothers Side with Obama on DACA  https://t.co/5MxmoDsy4h","2017-09-08 02:26","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/PQrCq]","[]",""
"907721711436615682","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Ia4dZVTjS3cVDs7oaUF64BtXAjO3qZ3h5YXRweTJA4=","Estados Unidos","Life member NRA & IKF ""Say When"".. Cause I Play For Blood. NO PC VETS & PATRIOTSWELCOMED #MAGA.#VETS #GUNSMATTER ??","https://t.co/4srF9AuhkP","1885","83","2017-08-18","es","BREAKING: Seattle’s Liberal Mayor Resigns in Shame After 5th Sex Abuse Allegation  https://t.co/0t0jsIgJGW","2017-09-12 21:44","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUM4c]","[]",""
"908433214594781186","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","qkMezPYXezK3L7iVJHtKJnohYaiIG+vrifGBiriacY=","Estados Unidos","Hello, its so nice to see you on here,I am ada new on here hoping to meet the right man for me,I am 33 years and i am a widow and i have a son of 2 years,Aaron","https://t.co/4srF9ALSJp","951","84","2017-08-18","es","Incredible Footage Shows Something Rare That All Animal Lovers Have To See  https://t.co/ktR39OMTgp","2017-09-14 20:52","Zapier.com","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[]","[http://zpr.io/nUkBT]","[]",""
